No,Review,Length,LSM_Score,Category,Product,Expertise,Priority
1,These are terrible. The charge doesn???last at all. I have to keep them constantly plugged in to use them. My inexpensive set stays charged forever. Don???waste your money.,172,0.2458,earbuds,Amazon Echo Buds with Active No,0,171.7542
2,I just needed a cheap pair of buds for walking but these were on sale for $45. I HATE these. First off they force you to download Alexa in order to use them. I can't express how much that pisses me off. Secondly; the sound quality is terrible; not remotely what I expect from buds that normally cost $150. These are worst I've ever bought; $20-30 ones couldn't have worse sound than these.,389,0.3269,earbuds,Amazon Echo Buds with Active No,0,388.6731
3,The quality of these earbuds are fairly decent. The setup was easy and the sound quality is impressive. The only thing I do not like about these and may end up returning them for is the noise cancellation and comfort. I was using them in the gym and the guy next to me was going through something with all his grunting and noises. I turned on noise cancellation and still heard him over my music. Tried turning it off and back on and honestly it made a 15% difference. The noise cancellation and comfort are the reasons I returned these.,537,0.3598,earbuds,Amazon Echo Buds with Active No,1,537.3598
4,very cheap; terrible quality! battery is terrible and it constantly has issues when charging. the music quality is good; but i am definitely going back to airpods once I have the chance.,186,0.2819,earbuds,Amazon Echo Buds with Active No,0,185.7181
5,There ok for the price I paid. Works ok getting feed back sounds. Connection is very good. They seem to be strong so far.,121,0.2349,earbuds,Amazon Echo Buds with Active No,0,120.7651
6,Won???connect to my not worth all the effort,44,0.1181,earbuds,Amazon Echo Buds with Active No,0,43.8819
7,Speakers went out after only a few uses. Wasn't able to return.,63,0.1761,earbuds,Amazon Echo Buds with Active No,0,62.8239
8,Very durable ear buds. Great value for the cost. I did not have any issues with connecting to my Razr phone. Very easy to use. Voice control and response time is unmatched.,172,0.2975,earbuds,Amazon Echo Buds with Active No,0,171.7025
9,These are a little difficult to get the right sizing; but it comes with eartips and other attachments. That being said the sound quality is decent. My only complaint is it staying in the ear as you're jogging and such.,218,0.2702,earbuds,Amazon Echo Buds with Active No,0,217.7298
10,Not working. Receiving message connected to device? I have no idea what device is being referred to. I don???see them connected any Bluetooth device I have.,156,0.1102,earbuds,Amazon Echo Buds with Active No,0,155.8898
11,I wish i would have read the reviews before purchasing; don??t waste your money. They absolutely DO NOT stay charged. And they slip out of your ears when sweaty; and since I purchased them to use while working out; this is an issue. Just don???waste your money.,261,0.3208,earbuds,Amazon Echo Buds with Active No,0,260.6792
12,Every time I go to use them; I have to reconnect them to my device through the Alexa app. Sometimes it will not even work. They have become completely useless to me. I have tried for over 30 minutes today but still not  paired. In that time; my air pods were recharged and ready to go and automatically connected. I was getting this message ??We are having trouble pairing with your device Make sure your device is powered on and ready to connect to your phone.?? No reason to have to reconnect through Alexa app each time.,523,0.1904,earbuds,Amazon Echo Buds with Active No,1,523.1904
13,Ear buds are nice; but they are connected to alexa. Only use for music at gym no phone calls :(((,97,0.2986,earbuds,Amazon Echo Buds with Active No,0,96.7014
14,This is my first time buying Amazon eacho bud. Setup was pretty easy. Good quality sound and built in Alexa is amazing; definitely buying one more for my daughter too.,167,0.2388,earbuds,Amazon Echo Buds with Active No,0,166.7612
15,Pesimos el sonido es malo el pueba de ruido no sirve de los peores son super sencibles lo tactil y a cada rato se interrumpe la musica o se pausa y para acabarla de repentente se deconecta solo del bluetooh aun teniendo bateria y no se vuelven a conectar!!,256,0.0791,earbuds,Amazon Echo Buds with Active No,0,255.9209
16,Had these about a month. Used may 6times and now the left ear bud doesn't work,78,0.2666,earbuds,Amazon Echo Buds with Active No,0,77.7334
17,They work with NOTHING; only works with Alex on a Fire tablet; worst purchase ever.,83,0.1466,earbuds,Amazon Echo Buds with Active No,0,82.8534
18,?ªi've tried charging them with no luck. I had a charge; just long enough for me to pair them with my phone and Alexa. But now it's at zero percent with the red flashing light again. I've tried to reset him. By holding the button down for 15 to 30 seconds; it'll have a red; solid light for a few seconds. Then goes back to blinking red. I've tried the help desk ect with no luck,378,0.1439,earbuds,Amazon Echo Buds with Active No,0,377.8561
19,Do not shut off in charging case. None of the buds fit my ears and the ones that comes close are extremely uncomfortable. Affordable but buy something different.,161,0.2637,earbuds,Amazon Echo Buds with Active No,0,160.7363
20,Sound quality is great but disappointed on the battery life.seems shorter than my$17 other cheaper pair.,104,0.3125,earbuds,Amazon Echo Buds with Active No,0,103.6875
21,I have had JBL Buds for years. Echo buds don't compare. They are wider which doesn't fit comfortable in my small ears. The clarity and volume isn't as good as JBL and batteries die too fast. Also the Echo devices are irritating when they play a voice to tell me the battery is running out and wakes me up.,305,0.2924,earbuds,Amazon Echo Buds with Active No,0,304.7076
22,Horrible. Takes an act of congress for them to connect and they won't hold a charge very long.,94,0.1166,earbuds,Amazon Echo Buds with Active No,0,93.8834
23,It did not hold a charge. Returned. Wanted to talk with customer service,72,0.0824,earbuds,Amazon Echo Buds with Active No,0,71.9176
24,Too difficult to use. Piece of crap. Will have to order some real ones.,71,0.1638,earbuds,Amazon Echo Buds with Active No,0,70.8362
25,You have to download the Alexa app to use these earbuds; something I didn't realize when I bought them and don't like. I just wanted earbuds-- not to be connected to big tech. But the real deal breaker is that they aren't compatible with my iPod; which is what I run with. You can't download the newest Alexa app on the iPod; and the older version doesn't work. The iPod recognized the earbuds but Spotify wouldn't play sound through them.,439,0.1872,earbuds,Amazon Echo Buds with Active No,0,438.8128
26,Decent audio quality; but they are prone to bad connection in the case. Right bud eventually got worse in quality; and then started giving off a high pitched screech when being put in or removed.,195,0.3164,earbuds,Amazon Echo Buds with Active No,0,194.6836
27,Absolute waste of money; these are complete junk. Its stupid that you cant just use them as a bluetooth device and that you have to download an app; i should be able to pair them right out of the box. The sound quality is sub par. The fit is terrible they fall out very easily not because of the rubber part in your ear being loose; but because their weight is very lopsided and unbalanced. The tap controls are way too sensitive; cant use them under a snowboard helmet. After not even a week of use; the left earbud has shrieking ear piercing feedback so now i only use the right earbud. Takes an insanely long time to connect to the phone when you go to use them; every other bluetooth headphone ive ever used connects in half the time or less. Also has an annoying bug where it will be connected for calls only and not audio as well; have to boot it off and reconnect it to fix. Worst headphones ive ever purchased in my life.,929,0.3506,earbuds,Amazon Echo Buds with Active No,1,929.3506
28,I??∂e had these for a little over a month now and without any hesitation these are the worst bluethooth headphones I??∂e owned. It fits okay in the ear especially with the extra pieces of your tips they add for different size of ears; but if you??±e using them to listen to music while you work a shift; you might as well buy wired headphones or waste money on some actual good AirPods or better Bluetooth headphones I recommend these if only you were using them to control other items in your home other than that; they are horrible for to basic small things as working running and basically anything that takes more than a hour I??∂e literally put them on and not even an hour later. It???notifying that it???running low on battery DO NOT BUY,740,0.3257,earbuds,Amazon Echo Buds with Active No,1,740.3257
29,Left earbud cuts out when I run.,32,0.1939,earbuds,Amazon Echo Buds with Active No,0,31.8061
30,You get a lot of bang for you buck with these. They're very compact; sound pretty good; and the noise cancellation is great. I've found myself always popping them in on any long flights across the US. Whenever you turn off the noise cancellation; it's always shocking just how loud it is inside the plane. I think my only real complaint is how slick the case is. I'm always afraid I'm going to drop it under the seat or something.,430,0.2805,earbuds,Amazon Echo Buds with Active No,0,429.7195
31,Junk. Feels cheap. Battery doesn???even hold a few days without use. Imagine having to have your earbuds on the charger constantly even if you only use them every couple days. For how much these cost I was expecting more.,221,0.2638,earbuds,Amazon Echo Buds with Active No,0,220.7362
32,I got these as a back-up pair during Prime Days for $45. I use earbuds a lot and have several pairs from different manufacturers. My go-to everyday buds are Air Pod Pros but since these Echo buds were a fraction of the price; I thought I'd give them a try. A couple of things to note: I'm not an Alexa user and these are Alexa enabled buds. Think Siri if you're an Apple user - but since there's no 'Alexa phone' you're connecting to; you have to actually setup the Alexa app on your phone and configure these ear buds. I almost returned them because they worked out of the box but then didn't work because I hadn't set them up properly. The sound quality is decent; so is the battery life; but the size of the buds in your ears is larger than I'd like - substantially larger than my my other go-to Studio Beats and my Air Pods. They'll connect to multiple devices and switch automatically which is nice; but have an odd quick in that while you're listening with them they'll disconnect from one of the devices by themselves for no reason and without any movement of the buds and the connected devices (e.g. me sitting on my bed with connected iPhone and iPad both on my nightstand 2 ft away). When they disconnect; one of the ear buds loses connectivity which is annoying and requires manually reconnecting to the device you're listening to or even having to turn Bluetooth off and then back on and then reconnecting. Summary: Sound and battery life are decent; Alexa is an annoyance for me since I'm not an Alexa user; and they're clunky in terms of size and fit. These buds go in my bag as a third or fourth string pair when my others are out of juice. In terms of value for the money; at $45 they were a good deal but if I'd paid $145 I probably would've returned them. There are lots of good ear bud choices out there these days and too many better alternatives at that $145-$150 price point. I gave them a 3-Star rating only because they were decent value for what I paid. I would've given 2 stars if I'd paid full price. Sorry Amazon.,2041,0.2983,earbuds,Amazon Echo Buds with Active No,1,2041.2983
33,Terrible for running. They pop every step and returning them is nearly impossible even though it???still within the return window. Stick to AirPods.,148,0.2834,earbuds,Amazon Echo Buds with Active No,0,147.7166
34,These are not very well made unfortunately they were very disappointing. Even with the adapters; they keep falling out. I wanted to buy them to work out and they have fallen out at at least a half a dozen times. If you??±e just sitting then they??±e fine but if you??±e moving around; I would not recommend them.,309,0.2119,earbuds,Amazon Echo Buds with Active No,0,308.7881
35,The sound quality is average at best. I got it connected to the Alexa app the day I received it then I tried to use them again a few days later and they wouldn???connect at all. Unfortunately; they won???work at all if they aren???connected to Alexa. I would look at Soundcore or other cheap earbud options.,307,0.255,earbuds,Amazon Echo Buds with Active No,0,306.745
36,Sound quality is a non-issue since they don't work consistently. Headphones frequently disconnect for no reason. I manually reconnect only to have them disconnect again 5 seconds later. Over and over. They connect the first time and stay connected maybe 30% of the time. These are so frustrating to TRY to use. Returning today,326,0.3,earbuds,Amazon Echo Buds with Active No,0,325.7
37,Horrible product horrible return policy for a company that makes the headphones! Never buy Amazon products,106,0.264,earbuds,Amazon Echo Buds with Active No,0,105.736
